----------------Q1/Q2.-----------------
total_vertexes = 1000
> Initialization...
> Huffman Coding...
> Huffman Coding Result : 
757 : 1100111110, length = 10
758 : 110010110, length = 9
759 : 0111010110, length = 10
760 : 000110000, length = 9
761 : 101011001, length = 9
762 : 0100000100, length = 10
763 : 000001110, length = 9
764 : 0100110101, length = 10
765 : 101101100, length = 9
766 : 110110001, length = 9
767 : 0100011001, length = 10
768 : 000110100, length = 9
769 : 0000100011, length = 10
770 : 00011001010, length = 11
771 : 01001111000, length = 11
772 : 1001011111, length = 10
773 : 001011100, length = 9
774 : 00111101110, length = 11
775 : 100111001, length = 9
776 : 110010111111, length = 12
777 : 1011110001, length = 10
778 : 11011101011, length = 11
779 : 01010100100, length = 11
780 : 001100100, length = 9
781 : 0111110001, length = 10
782 : 010001100010, length = 12
783 : 00110101001, length = 11
784 : 110100110, length = 9
785 : 110011101, length = 9
786 : 10000100110, length = 11
787 : 01110110010, length = 11
788 : 111011011, length = 9
789 : 01010111100, length = 11
790 : 000110101, length = 9
791 : 0000000000, length = 10
792 : 0100110111, length = 10
793 : 1101110100, length = 10
794 : 000100010, length = 9
795 : 010101101101, length = 12
796 : 0110010001, length = 10
797 : 111101001100, length = 12
798 : 0100111100110010101, length = 19
799 : 01100110110, length = 11
800 : 110110000, length = 9
801 : 0100100011110, length = 13
802 : 0101100010, length = 10
803 : 0000010110, length = 10
804 : 110000001000101, length = 15
805 : 01100001110001, length = 14
806 : 0100001010, length = 10
807 : 1100101110, length = 10
808 : 0011111000, length = 10
809 : 000001010, length = 9
810 : 01000110000011, length = 14
811 : 0101000100, length = 10
812 : 001010000, length = 9
813 : 0101111001, length = 10
814 : 100101011, length = 9
815 : 011101111001, length = 12
816 : 01110000000, length = 11
817 : 10100111110000, length = 14
818 : 0111100001, length = 10
819 : 0101100001100, length = 13
820 : 101101101101, length = 12
821 : 01111010010, length = 11
822 : 0010101101, length = 10
823 : 0100111101, length = 10
824 : 01010111000, length = 11
825 : 100010011, length = 9
826 : 0110100010, length = 10
827 : 0100001011, length = 10
828 : 0100101101, length = 10
829 : 1101101010, length = 10
830 : 011000011110, length = 12
831 : 111111001, length = 9
832 : 100100011, length = 9
833 : 0101100000, length = 10
834 : 1111011110, length = 10
835 : 000001100, length = 9
836 : 110101010, length = 9
837 : 100110001, length = 9
838 : 0011101111, length = 10
839 : 010000100111, length = 12
840 : 0101111011, length = 10
841 : 11111101001, length = 11
842 : 101011100, length = 9
843 : 111100010, length = 9
844 : 0110011010, length = 10
845 : 101011010, length = 9
846 : 100100100000, length = 12
847 : 11100000010, length = 11
848 : 010101101100110, length = 15
849 : 101101011, length = 9
850 : 0011110010, length = 10
851 : 01010011110, length = 11
852 : 000011011, length = 9
853 : 010101001011, length = 12
854 : 0101010000, length = 10
855 : 1011010010, length = 10
